Query,Business Name,Street Address,Latitude,Longitude
"[""Hardee's""]",Hardee's,"4111 Mountain Rd, Pasadena, MD 21122, United States",39.1221473,-76.515379
"[""Hardee's""]",Hardee's,"20 Prosperity Ln, Stafford, VA 22556, United States",38.4708701,-77.4133295
"[""Hardee's""]",Hardee's,"1700 Princess Anne St, Fredericksburg, VA 22401, United States",38.3100193,-77.4653317
"[""Hardee's""]",Hardee's,"1157 Shopping Center Rd, Stevensville, MD 21666, United States",38.975327,-76.2982961
"[""Hardee's""]",Hardee's,"567 Warrenton Rd, Falmouth, VA 22406, United States",38.3447079,-77.4989542
"[""Hardee's""]",Hardee's,"5107 Jefferson Davis Hwy, Fredericksburg, VA 22408, United States",38.2561073,-77.49803109999999
"[""Hardee's""]",Hardee's,"8335 Ocean Gateway, Easton, MD 21601, United States",38.7779518,-76.0596055
"[""Hardee's""]",Hardee's,"9811 Courthouse Rd, Spotsylvania Courthouse, VA 22553, United States",38.2336668,-77.5582112
"[""Hardee's""]",Hardee's,"11825 Tidewater Trail, Fredericksburg, VA 22408, United States",38.2816665,-77.4531361
"[""Hardee's""]",Hardee's,"800 Woods Rd, Cambridge, MD 21613, United States",38.5578718,-76.06064669999999
"[""Hardee's""]",Hardee's,"20598 Dupont Blvd, Georgetown, DE 19947, United States",38.698858,-75.40154249999999
"[""Hardee's""]",Hardee's,"328 W Stein Hwy, Seaford, DE 19973, United States",38.646612,-75.6224553
"[""Hardee's""]",Hardee's,"28552 Dupont Blvd, Millsboro, DE 19966, United States",38.581488,-75.292254
"[""Hardee's""]",Hardee's,"30759 Sussex Hwy, Laurel, DE 19956, United States",38.5608159,-75.556288
"[""Hardee's""]",Hardee's,"9521 Ocean Hwy, Delmar, MD 21875, United States",38.4536007,-75.5579328
"[""Hardee's""]",Hardee's,"28199 US-27, Dundee, FL 33838, United States",28.0182595,-81.6317419
"[""Hardee's""]",Hardee's,"300 E Van Fleet Dr, Bartow, FL 33830, United States",27.9044811,-81.8414876
"[""Hardee's""]",Hardee's,"126 Magnolia Ave, Auburndale, FL 33823, United States",28.0590321,-81.78509199999999
"[""Hardee's""]",Hardee's,"342 Shinn Blvd, Lake Alfred, FL 33850, United States",28.0888699,-81.730614
"[""Hardee's""]",Hardee's,"515 E Canal St, Mulberry, FL 33860, United States",27.8944623,-81.96910299999999
"[""Hardee's""]",Hardee's,"39837 US Hwy 27, Davenport, FL 33837, United States",28.1778258,-81.6390547
"[""Hardee's""]",Hardee's,"2050 W Memorial Blvd, Lakeland, FL 33815, United States",28.0542493,-81.9897943
